Season,Title,Airdate,Rating,Vote_count,Description
3,Radio Bart,9 Jan. 1992,8.5,2360,"After Bart receives a microphone which can transmit through radios, he decides to pull a series of pranks and eventually convinces the town that a boy has fallen down a well."
3,Lisa the Greek,23 Jan. 1992,8.0,2035,Homer uses Lisa (and her prognostic skills) to help him bet on football games.
3,Homer Alone,6 Feb. 1992,8.1,2051,"While Marge spends a couple of days at Rancho Relaxo after she has a breakdown, Bart and Lisa stay with Patty and Selma, and Homer stays at home to take care of Maggie."
3,Bart the Lover,13 Feb. 1992,8.3,2233,"After Mrs. Krabappel gives Bart a month of detention, he gets his revenge by responding to her newspaper singles ad. Meanwhile, Marge suggests Homer to start a swear jar to stop him cursing."
3,Homer at the Bat,20 Feb. 1992,8.7,2716,"Homer and his co-workers qualify for the plant softball team's league final, but Mr. Burns hires nine professional MLB players in order to win a $1 million bet."
3,Separate Vocations,27 Feb. 1992,8.2,2070,"The results of a standardized test steer Bart in the direction of law and order at Springfield Elementary School. However, Lisa becomes so depressed by her results that she turns to juvenile delinquency."
3,Dog of Death,12 Mar. 1992,7.8,1998,"The Simpsons wind up regretting paying for an expensive surgery for Santa's Little Helper. He then runs away from home, winds up in the animal shelter, and is adopted by Mr. Burns to become an attack dog."
3,Colonel Homer,26 Mar. 1992,8.0,2148,"Homer becomes the manager of a beautiful young country singer and finds himself almost attracted to her, sparking Marge's jealousy."
3,Black Widower,9 Apr. 1992,8.3,2143,Sideshow Bob gets out of jail and plots to take his revenge on Bart by marrying his Aunt Selma and killing her.
3,The Otto Show,23 Apr. 1992,7.7,2036,"After Otto loses his job as school bus driver because he does not have a license, Bart convinces Homer and Marge to let Otto stay with them until he gets back on his feet."
3,Bart's Friend Falls in Love,7 May 1992,7.8,2005,"Milhouse falls in love with Samantha, a new transfer student, and Bart becomes jealous of all the time they are spending together. Meanwhile, Homer orders a subliminal weight loss tape, but is given a vocabulary builder by mistake."
3,"Brother, Can You Spare Two Dimes?",27 Aug. 1992,8.3,2104,"After Homer ""wins"" a $2000 settlement with the plant for radiation affecting his sperm count, his brother Herb comes to Springfield with an idea that could help him get his fortune back."
4,Kamp Krusty,24 Sep. 1992,8.5,2475,"Bart and Lisa attend ""Kamp Krusty"" but it is nothing like they thought it would be; Homer's hair grows back and he loses weight while the kids are away."
4,A Streetcar Named Marge,1 Oct. 1992,8.2,2303,"Marge stars in a musical adaptation of A Streetcar Named Desire, but is angry with Homer's lack of interest; Maggie squares off with her strict new daycare owner."
4,Homer the Heretic,8 Oct. 1992,9.0,2970,"After skipping church one week, Homer decides that he is never going back. However, when a calamity occurs, it takes the combined efforts of a number of people from different faiths to save him."
4,Lisa the Beauty Queen,15 Oct. 1992,7.8,2093,Lisa enters the Little Miss Springfield pageant.
4,Treehouse of Horror III,29 Oct. 1992,8.5,2412,An evil Krusty the Clown doll tries to kill Homer; Marge is captured by a giant ape who falls in love with her; Bart inadvertently raises the dead.
4,Itchy & Scratchy: The Movie,3 Nov. 1992,8.2,2208,"With Bart continually getting in trouble, Homer bans him from seeing the new Itchy & Scratchy movie."
4,Marge Gets a Job,5 Nov. 1992,7.8,2006,"When Marge takes a job at the power plant, Mr. Burns falls in love with her."
4,New Kid on the Block,12 Nov. 1992,8.2,2176,"Bart develops a crush on his new neighbor, only to discover that she's dating Jimbo Jones; Homer sues an all-you-can-eat restaurant after he's kicked out."
4,Mr. Plow,19 Nov. 1992,8.9,2766,"Homer opens a snow plow business only to have his best friend Barney open a rival outfit, with commercials by Linda Ronstadt. Homer sends Barney into an avalanche, then feels guilty and saves his life."
4,Lisa's First Word,3 Dec. 1992,8.7,2353,"While trying to coax Maggie into saying her first word, Homer and Marge talk about how Lisa spoke hers."
4,Homer's Triple Bypass,17 Dec. 1992,8.7,2406,"Years of poor eating habits catch up with Homer when he suffers a massive heart attack, but the family can't afford the triple bypass operation he needs."
4,Marge vs. the Monorail,14 Jan. 1993,9.1,3389,"After receiving a considerable donation of money, Springfield builds a monorail system with Homer as the conductor, unaware they've just boarded a one-way train to Hell."
4,Selma's Choice,21 Jan. 1993,8.0,2039,"Selma starts to feel broody, but after taking Bart and Lisa to Duff Gardens, she changes her mind."
4,Brother from the Same Planet,4 Feb. 1993,8.2,2053,"When Bart gets tired of Homer's horrible parenting skills, he enrolled in the ""Bigger Brother"" program where he's assigned a fantastic role model."
4,I Love Lisa,11 Feb. 1993,8.4,2219,"Lisa gives Ralph a Valentine's card out of pity and then regrets it when he develops a crush on her. They attend Krusty's 29th anniversary show, and perform together in the Presidents' Day pageant."
4,Duffless,18 Feb. 1993,8.4,2095,"After Homer is arrested for DUI, and loses his driver's license, he is put to the ultimate test when Marge pressures him to give up beer for a month."
4,Last Exit to Springfield,11 Mar. 1993,9.1,3098,Homer becomes union leader and leads a company strike when Mr. Burns takes away the company dental plan.
4,So It's Come to This: A Simpsons Clip Show,1 Apr. 1993,7.1,1916,Bart's April fools prank results in a huge explosion that seriously injures the Simpsons patriarch.
4,The Front,15 Apr. 1993,8.1,1933,"Bart and Lisa decide to write their own episodes of the ""Itchy and Scratchy"" show after they begin to grow bored with the current scripts."
4,Whacking Day,29 Apr. 1993,8.1,2116,"Marge attempts to home school Bart after he is expelled from Springfield Elementary. Meanwhile, Lisa protests a barbaric local holiday centered around clubbing snakes to death."
4,Marge in Chains,6 May 1993,7.8,1890,"A misunderstanding leads to Marge being imprisoned for shoplifting, with her absence soon descending the family, and eventually, the town into chaos."
4,Krusty Gets Kancelled,13 May 1993,8.2,2123,"A massive advertising blitz announces the arrival of something named ""Gabbo."" Eventually, Gabbo is revealed to be a Howdy Doody-esque dummy, whose sensational success causes Krusty the Clown's show to be canceled."
5,Homer's Barbershop Quartet,30 Sep. 1993,8.5,2491,"After the kids find a record with Homer's picture on it, he recalls the story of how he achieved fame in the 1980s with his barbershop quartet, The Be Sharps."
5,Cape Feare,7 Oct. 1993,9.2,3555,"After being released from prison on parole, Sideshow Bob plots to murder Bart."
5,Homer Goes to College,14 Oct. 1993,8.6,2498,"When a surprise inspection of the nuclear power plant reveals that Homer is not qualified to do his job, he is forced to go to college."
5,Rosebud,21 Oct. 1993,8.9,2526,"After his birthday party goes wrong, Mr. Burns begins to want his childhood toy, a teddy bear named Bobo; Homer finds that Maggie is in possession of the doll."
5,Treehouse of Horror IV,28 Oct. 1993,8.8,2530,"Homer sells his soul to the Devil for a donut, Bart contends with a gremlin on the side of the school bus which only he can see, and the family discovers that Mr. Burns is a vampire."
5,Marge on the Lam,4 Nov. 1993,8.1,1983,A girls' night out turns into a high speed chase when Marge learns her friend is driving a stolen car.
5,Bart's Inner Child,11 Nov. 1993,7.7,1872,"Brad Goodman, a self-help guru, encourages Springfield to act more like Bart, with disastrous results."
5,Boy Scoutz 'n the Hood,18 Nov. 1993,8.7,2238,"After joining the Junior Campers while on a sugar high, Bart reluctantly invites Homer to accompany him on the group's annual father-son rafting trip, which soon goes awry."
5,The Last Temptation of Homer,9 Dec. 1993,8.5,2235,Homer's marriage is in trouble when he develops an attraction to a new co-worker.
5,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",16 Dec. 1993,8.6,2242,"Mr. Burns builds a casino when Springfield decides to legalize gambling, with Marge becoming addicted to the slot machines."
5,Homer the Vigilante,6 Jan. 1994,8.3,2053,An outbreak of burglaries inspires Homer to lead a vigilante group.
5,Bart Gets Famous,3 Feb. 1994,8.2,1957,"Bart becomes an overnight sensation as the ""I didn't do it"" boy on Krusty the Clown's show."
5,Homer and Apu,10 Feb. 1994,8.3,2017,Apu moves in with the Simpsons after losing his job when Homer gets ill from the contaminated food; James Woods takes over the Kwik-E-Mart.
5,Lisa vs. Malibu Stacy,17 Feb. 1994,8.2,2014,Lisa leads a protest against a talking doll which she believes is sexist.
5,Deep Space Homer,24 Feb. 1994,8.9,2570,"In an effort to increase the dismal television ratings for their space launches, NASA decides to send an ordinary man into space, and Homer is chosen for the task."
5,Homer Loves Flanders,17 Mar. 1994,8.5,2068,"After Flanders invites Homer to a football game, the pair become friends, but Homer's possessiveness and loutish behaviour slowly turns Ned against him."
5,Bart Gets an Elephant,31 Mar. 1994,7.9,1950,"After Bart receives an elephant as a prize for calling in to a radio station, the animal proves to be too costly to care for and Homer decides to sell it."
5,Burns' Heir,14 Apr. 1994,8.4,1957,"After coming close to death, Mr. Burns decides than it's time to find an heir to his empire, and chooses Bart because of his truly devious nature."
5,Sweet Seymour Skinner's Baadasssss Song,28 Apr. 1994,8.4,2004,"Bart accidentally gets Principal Skinner fired on inspection day, with Ned Flanders taking over as his replacement."
5,The Boy Who Knew Too Much,5 May 1994,8.3,1915,"Bart witnesses the alleged assault of a waiter by Mayor Quimby's nephew, but coming forward will mean admitting to skipping class, and face the consequences."
5,Lady Bouvier's Lover,12 May 1994,7.6,1748,"Grampa falls in love with Marge's mother, but must compete with Mr. Burns for her heart."
5,Secrets of a Successful Marriage,19 May 1994,8.1,1826,"Homer begins teaching a class on how to have a successful marriage, but jeopardizes his own marriage by revealing secrets about himself and Marge."
6,Bart of Darkness,4 Sep. 1994,8.7,2342,"After he breaks his leg and becomes confined to his room, Bart begins spying on the neighbors with his telescope, and suspects Ned of murdering Maude."
6,Lisa's Rival,11 Sep. 1994,8.1,2019,"Lisa is jealous when a new girl in class is smarter than she is. Meanwhile, Homer obtains a massive amount of sugar."
6,Another Simpsons Clip Show,25 Sep. 1994,5.9,1825,The family recalls past tales of lost love.
6,Itchy & Scratchy Land,2 Oct. 1994,8.6,2236,A family vacation to Itchy & Scratchy Land turns disastrous when the robots malfunction and turn on the tourists.
6,Sideshow Bob Roberts,9 Oct. 1994,8.3,1961,"Sideshow Bob is released from prison and runs for Mayor of Springfield. When he wins the election, Bart and Lisa suspect foul play and are determined to expose Bob's corruption."
6,Treehouse of Horror V,30 Oct. 1994,9.2,3082,The family's job at Mr. Burns' country estate goes awry when Homer goes mad; Homer's attempt to repair a toaster results in inadvertent time travel; The school staff turn cannibalistic.
6,Bart's Girlfriend,6 Nov. 1994,8.1,1982,Bart falls for Reverend Lovejoy's daughter and is surprised when she becomes a bad influence on him.
6,Lisa on Ice,13 Nov. 1994,8.6,2155,"Homer gives all his attention to Bart because he is the star of his hockey team, which makes Lisa jealous. But when a rival team discovers that she is an excellent goalie, Bart suddenly has a rival for Homer's attention."
6,Homer Badman,27 Nov. 1994,9.0,2779,"After a series of misunderstandings, Homer is labeled a pervert, and must try to clear his name."
6,Grampa vs. Sexual Inadequacy,4 Dec. 1994,8.1,1846,Homer and Abe hit the road to sell Abe's miraculous aphrodisiac.
6,Fear of Flying,18 Dec. 1994,7.8,1882,Marge goes into therapy to cure her of her traumatizing fear of flying.
6,Homer the Great,8 Jan. 1995,9.0,2557,"Homer becomes a member of a mysterious organization called the Stonecutters and is heralded as ""the chosen one""."
6,And Maggie Makes Three,22 Jan. 1995,8.8,2341,Homer recounts the story of Maggie's birth when the kids ask why there are no photos of her in the family album.
6,Bart's Comet,5 Feb. 1995,8.7,2098,Bart discovers a comet that is on a collision course with Springfield.
6,Homie the Clown,12 Feb. 1995,8.6,2151,"Homer becomes a Krusty the Clown stand-in, but is mistaken for the real Krusty by the Springfield mafia."
6,Bart vs. Australia,19 Feb. 1995,8.5,2278,"After he makes a collect call to Australia and refuses to pay for it, Bart sparks an international incident, with the Simpsons forced to travel to the country in order to repair political relations."
6,Homer vs. Patty and Selma,26 Feb. 1995,7.9,1765,"Desperate for money, Homer takes a loan from Patty and Selma; Bart discovers a natural talent for ballet."
6,A Star Is Burns,5 Mar. 1995,8.6,2129,"The citizens of Springfield host their very own film festival, with a popular movie critic from New York arriving to judge."
6,Lisa's Wedding,19 Mar. 1995,8.3,2053,A fortune teller gives Lisa a look at her wedding in the year 2010.
6,Two Dozen and One Greyhounds,9 Apr. 1995,8.2,1830,"Santa's Little Helper's new mate has puppies, and Mr. Burns schemes to steal them and make them into a coat."
6,The PTA Disbands,16 Apr. 1995,8.1,1775,Marge fills in for Mrs. Krabappel during a teachers' strike.
6,'Round Springfield,30 Apr. 1995,8.2,1894,"When Bart is hospitalized, Lisa runs into her hero, Bleeding Gums Murphy, who is also a patient. However, when he dies soon after, she is devastated."
6,The Springfield Connection,7 May 1995,8.2,1802,Marge deals with corruption and crime when she joins the Springfield police force.
6,Lemon of Troy,14 May 1995,8.7,2247,"When a group of Shelbyville kids steal Springfield's sacred lemon tree, Bart and his friends venture there to get the tree back."
6,Who Shot Mr. Burns? Part One,21 May 1995,9.2,2860,"After Mr. Burns steals oil from Springfield Elementary, an unknown person, seemingly in retaliation, shoots him."
7,Who Shot Mr. Burns? Part Two,17 Sep. 1995,9.0,2580,"Mr. Burns is laying in the hospital while the investigation into his shooterbegins, every citizen has motivation, but it's Simpson DNA that has been found."
7,Radioactive Man,24 Sep. 1995,8.3,1958,Milhouse is cast as Radioactive Man's sidekick in a Hollywood production of the comic book.
7,Home Sweet Home-Dum-Diddly Doodily,1 Oct. 1995,8.4,1887,"Marge and Homer lose custody of the kids, who are sent to live at the Flanders' house."
7,Bart Sells His Soul,8 Oct. 1995,8.8,2350,Bart casually sells his soul to Milhouse for five dollars but later regrets it. Moe converts his dank bar into a fun family restaurant.
7,Lisa the Vegetarian,15 Oct. 1995,8.5,2212,"A trip to a local petting zoo convinces Lisa to give up meat, despite excessive pressure to convince her not to do so."
7,Treehouse of Horror VI,29 Oct. 1995,8.6,2234,A freak lightning storm causes giant advertising mascots to come to life; The children are terrorized by Groundskeeper Willie in their dreams; Homer finds himself trapped in another dimension.
7,King Size Homer,5 Nov. 1995,9.0,2691,"Homer intentionally gains more weight in order to qualify for disability and work from home, but soon realizes that being morbidly obese comes with its own problems."
7,Mother Simpson,19 Nov. 1995,8.6,2089,"After faking his own death, Homer is reunited with his mother, who harbors a deep secret."
7,Sideshow Bob's Last Gleaming,26 Nov. 1995,8.0,1768,"Sideshow Bob again escapes from prison and takes control of a TV screen at an air show, demanding all television stations immediately go off the air."
7,The Simpsons 138th Episode Spectacular!,3 Dec. 1995,7.5,1773,Troy McClure hosts a retrospective of the first 137 episodes of The Simpsons (1989).
7,Marge Be Not Proud,17 Dec. 1995,8.4,2069,Marge's relationship with Bart is strained when he is caught shoplifting before Christmas.
7,Team Homer,7 Jan. 1996,8.3,1794,"Homer starts a bowling team with Moe, Apu and Otto, but when Mr. Burns discovers the team was funded with his money, he insists on joining. Meanwhile, Springfield Elementary introduces uniforms."
7,Two Bad Neighbors,14 Jan. 1996,8.6,2101,"Former President George Bush and his wife, Barbara, move into the Simpsons' neighborhood and soon clash with Bart and Homer."
7,Scenes from the Class Struggle in Springfield,4 Feb. 1996,7.7,1656,"After buying a Chanel suit at a bargain price, Marge finds herself invited to a country club by a former schoolmate. Taken in by the opulence of the place, she is soon overcome by a desperation to fit in."
7,Bart the Fink,11 Feb. 1996,7.7,1624,"Krusty the Clown is left almost broke after Bart inadvertently rats him out to the IRS, forcing Krusty to take drastic action."
7,Lisa the Iconoclast,18 Feb. 1996,8.2,1782,Lisa may figure out what to do when she discovers that Springfield's founding father was actually a murderous thief while researching for an essay.
7,Homer the Smithers,25 Feb. 1996,8.9,2457,"When Smithers is forced to take a vacation, he appoints Homer as his temporary replacement."
7,The Day the Violence Died,17 Mar. 1996,8.1,1757,"Bart and Lisa meet a homeless person who claims to have created Itchy, the mouse from their favorite cartoon series, ""Itchy & Scratchy."""
7,A Fish Called Selma,24 Mar. 1996,8.2,1881,Washed-up movie star Troy McClure starts dating Selma in an attempt to silence bizarre rumors about his personal life and resuscitate his career.
7,Bart on the Road,31 Mar. 1996,8.6,1956,"Bart makes a fake driver's license and takes Milhouse, Martin and Nelson on a huge road trip; Lisa spends time with Homer at the power plant."
7,22 Short Films About Springfield,14 Apr. 1996,8.9,2485,A series of vignettes highlights a day in the life of various Springfield residents.
7,Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',28 Apr. 1996,8.4,1921,"Another member of Grampa Simpson's WWII platoon dies, leaving only him and Mr. Burns. Years earlier, the men stole a number of priceless masterpieces from Nazi Germany, and now Mr. Burns aims to ensure he is the one to inherit them."
7,Much Apu About Nothing,5 May 1996,8.1,1687,"Anti-immigration fever sweeps Springfield, which threatens to lead to the deportation of Apu, until Homer decides to reject the mob mentality and help him become a legal citizen."
7,Homerpalooza,19 May 1996,8.0,1792,"Determined to prove he is still cool, Homer takes Bart and Lisa to the Hullabalooza music festival, where he finds he has a talent for being shot in the stomach, and joins the festival's freak show."
7,"Summer of 4'2""",19 May 1996,8.4,1947,"After realizing how unpopular she is, a disillusioned Lisa sees the vacation to Ned Flanders' beach house as an opportunity to reinvent herself."
8,Treehouse of Horror VII,27 Oct. 1996,8.5,2091,Bart discovers his Siamese twin in the attic; Lisa becomes a God after she accidentally creates life in a science fair project; Kang and Kodos plot to conquer the planet.
8,You Only Move Twice,3 Nov. 1996,9.3,3931,"After moving to another town for a new job, Homer must decide whether or not to stay when the family have a hard time with the transfer."
8,The Homer They Fall,10 Nov. 1996,8.1,1842,Homer becomes a boxer after Moe discovers his amazing ability to take a punch.
8,"Burns, Baby Burns",17 Nov. 1996,7.7,1814,"The Simpsons try to reunite Homer's boss, Mr. Burns, with Larry, Burns' long-lost son."
8,Bart After Dark,24 Nov. 1996,8.3,1891,Marge leads a crusade against a local burlesque house after she discovers Bart working there.
8,A Milhouse Divided,1 Dec. 1996,8.1,1776,"When Kirk and Luann hit a roadblock in their marriage, Luann announces she's getting a divorce, causing Homer to worry about his own marriage."
8,Lisa's Date with Density,15 Dec. 1996,7.8,1734,"Lisa develops a crush on Nelson, and tries to reform him; Homer gets an autodialer and decides to make easy money with a telemarketing scam."
8,Hurricane Neddy,29 Dec. 1996,8.8,2174,"After a hurricane hits Springfield and destroys Ned Flanders' house, he suffers a breakdown and is forced to confront problems from his childhood."
8,El Viaje Misterioso De Nuestro Jomer,5 Jan. 1997,8.6,2310,"At Springfield's annual chili cook-off, Homer eats a spicy concoction containing hallucinogenic peppers from Guatemala, and subsequently has a vision which makes him doubt Marge is his soul mate."
8,The Springfield Files,12 Jan. 1997,9.1,2966,Special Agents Mulder and Scully arrive in Springfield after Homer claims to have seen an alien.
8,The Twisted World of Marge Simpson,19 Jan. 1997,7.8,1692,"Marge enters the pretzel vending business, but when she fails, Homer recruits some help from the mob."
8,Mountain of Madness,2 Feb. 1997,8.6,1953,Homer and Mr. Burns get trapped in a snowed-in cabin during a company retreat.
8,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,7 Feb. 1997,7.7,1836,"Marge is stressed from motherhood and hired a British nanny to help out around the house, and to everyone at Rosie, she teaches Bart and Lisa how to behave."
